Date,Open,Close,High,Low,Volume,Volatility,PercentageChange,Change,TurnoverRatio
1984/9/7,26.5,26.5,26.87,26.25,2981600,0,0,0,0.02
1984/9/10,26.5,26.37,26.62,25.87,2346400,2.83,-0.49,-0.13,0.02
1984/9/11,26.62,26.87,27.37,26.62,5444000,2.84,1.9,0.5,0.04
1984/9/12,26.87,26.12,27,26.12,4773600,3.28,-2.79,-0.75,0.03
1984/9/13,27.5,27.5,27.62,27.5,7429600,0.46,5.28,1.38,0.05
1984/9/14,27.62,27.87,28.5,27.62,8826400,3.2,1.35,0.37,0.06
1984/9/17,28.62,28.62,29,28.62,6886400,1.36,2.69,0.75,0.05
1984/9/18,28.62,27.62,28.87,27.62,3495200,4.37,-3.49,-1,0.02
1984/9/19,27.62,27,27.87,27,3816000,3.15,-2.24,-0.62,0.03
1984/9/20,27.12,27.12,27.37,27.12,2387200,0.93,0.44,0.12,0.02
1984/9/21,27.12,26.87,27.87,26.5,3591200,5.05,-0.92,-0.25,0.02
1984/9/24,26.87,26.62,27,26.62,2833600,1.41,-0.93,-0.25,0.02
1984/9/25,26.5,26.12,26.5,26.12,5977600,1.43,-1.88,-0.5,0.04
1984/9/26,26.12,25.75,27.25,25.75,3987200,5.74,-1.42,-0.37,0.03
1984/9/27,25.75,25.75,25.87,25.75,3796000,0.47,0,0,0.03
1984/9/28,25.75,25.12,25.75,24.62,8344800,4.39,-2.45,-0.63,0.06
1984/10/1,25,24.5,25,24.5,3521600,1.99,-2.47,-0.62,0.02
1984/10/2,24.75,24.75,25.62,24.75,4258400,3.55,1.02,0.25,0.03
1984/10/3,25.12,25.12,25.5,25.12,4335200,1.54,1.49,0.37,0.03
1984/10/4,25.37,25.37,25.62,25.37,4482400,1,1,0.25,0.03
1984/10/5,25.37,24.87,25.37,24.75,3510400,2.44,-1.97,-0.5,0.02
1984/10/8,24.87,24.87,25,24.87,1721600,0.52,0,0,0.01
1984/10/9,24.87,24.62,25,24.62,4515200,1.53,-1.01,-0.25,0.03
1984/10/10,24.62,23.87,24.62,23.87,13070400,3.05,-3.05,-0.75,0.09
1984/10/11,23.87,23.75,24.5,23.75,6553600,3.14,-0.5,-0.12,0.04
1984/10/12,23.75,22.75,23.87,22.5,9522400,5.77,-4.21,-1,0.06
1984/10/15,24,24,24.25,24,8715200,1.1,5.49,1.25,0.06
1984/10/16,24,23.87,24.12,23.87,4246400,1.04,-0.54,-0.13,0.03
1984/10/17,24.87,24.87,25,24.87,5636000,0.54,4.19,1,0.04
1984/10/18,25.62,25.62,25.75,25.62,8842400,0.52,3.02,0.75,0.06
1984/10/19,25.62,25.62,27.37,25.5,11673600,7.3,0,0,0.08
1984/10/22,25.62,25.37,26,25.37,4108800,2.46,-0.98,-0.25,0.03
1984/10/23,26,26,26.25,26,6668800,0.99,2.48,0.63,0.04
1984/10/24,26.25,26.25,26.5,26.25,5989600,0.96,0.96,0.25,0.04
1984/10/25,26.25,25.25,26.25,25.25,5676000,3.81,-3.81,-1,0.04
1984/10/26,25.25,24.62,25.25,24.5,4113600,2.97,-2.5,-0.63,0.03
1984/10/29,24.75,24.75,24.87,24.75,1836000,0.49,0.53,0.13,0.01
1984/10/30,25,25,25.25,25,2677600,1.01,1.01,0.25,0.02
1984/10/31,25,24.87,25.25,24.87,2191200,1.52,-0.52,-0.13,0.01
1984/11/1,25,25,25.25,25,1680000,1.01,0.52,0.13,0.01
1984/11/2,25,24.87,25.12,24.75,1004800,1.48,-0.52,-0.13,0.01
1984/11/5,24.87,24.75,25.37,24.75,3764800,2.49,-0.48,-0.12,0.03
1984/11/6,26.25,26.25,26.37,26.25,8073600,0.48,6.06,1.5,0.05
1984/11/7,26.25,25.75,26.37,25.75,8286400,2.36,-1.9,-0.5,0.06
1984/11/8,25.75,24.75,25.75,24.75,3162400,3.88,-3.88,-1,0.02
1984/11/9,24.75,23.25,24.87,23,10518400,7.56,-6.06,-1.5,0.07
1984/11/12,24.12,24.12,24.25,24.12,4070400,0.56,3.74,0.87,0.03
1984/11/13,24.12,23.5,24.62,23.5,4548800,4.64,-2.57,-0.62,0.03
1984/11/14,23.75,23.75,24,23.75,3752800,1.06,1.06,0.25,0.02
1984/11/15,23.75,23.75,24,23.75,3833600,1.05,0,0,0.03
1984/11/16,23.75,23.25,24.12,23.12,5920000,4.21,-2.11,-0.5,0.04
1984/11/19,23.25,21.87,23.37,21.87,8321600,6.45,-5.94,-1.38,0.06
1984/11/20,22.62,22.62,22.75,22.62,9424800,0.59,3.43,0.75,0.06
1984/11/21,23.12,23.12,23.25,23.12,6418400,0.57,2.21,0.5,0.04
1984/11/23,23.37,23.75,24.12,23.37,4904800,3.24,2.72,0.63,0.03
1984/11/26,24,24,24,24,3636000,0,1.05,0.25,0.02
1984/11/27,24.62,24.62,24.87,24.62,4590400,1.04,2.58,0.62,0.03
1984/11/28,25.87,25.87,26.5,25.87,14673600,2.56,5.08,1.25,0.1
1984/11/29,25.87,25.37,25.87,25.37,6248800,1.93,-1.93,-0.5,0.04
1984/11/30,25.37,24.75,25.62,24.62,3906400,3.94,-2.44,-0.62,0.03
1984/12/3,24.75,24.37,24.87,24.37,3533600,2.02,-1.54,-0.38,0.02
1984/12/4,24.87,24.87,25.37,24.87,4332800,2.05,2.05,0.5,0.03
1984/12/5,26.12,26.12,26.12,26.12,9406400,0,5.03,1.25,0.06
1984/12/6,27.37,27.37,27.5,27.37,11360000,0.5,4.79,1.25,0.08
1984/12/7,27.37,27.25,28.37,27.12,17696000,4.57,-0.44,-0.12,0.12
1984/12/10,27.25,26.75,27.25,26.75,4016000,1.83,-1.83,-0.5,0.03
1984/12/11,26.75,26.37,27.12,26.37,4432800,2.8,-1.42,-0.38,0.03
1984/12/12,26.37,25.5,26.37,25.5,3937600,3.3,-3.3,-0.87,0.03
1984/12/13,25.75,25.75,26.25,25.75,2424800,1.96,0.98,0.25,0.02
1984/12/14,25.75,26.37,26.62,25.75,3475200,3.38,2.41,0.62,0.02
1984/12/17,27,27,27.25,27,4513600,0.95,2.39,0.63,0.03
1984/12/18,28.62,28.62,28.75,28.62,12164800,0.48,6,1.62,0.08
1984/12/19,28.62,27.5,28.75,27.5,11372800,4.37,-3.91,-1.12,0.08
1984/12/20,27.5,27.37,28,27.37,5013600,2.29,-0.47,-0.13,0.03
1984/12/21,27.37,27,27.5,26.75,4438400,2.74,-1.35,-0.37,0.03
1984/12/24,27.5,27.5,27.62,27.5,2418400,0.44,1.85,0.5,0.02
1984/12/26,27.62,27.62,27.87,27.62,2444000,0.91,0.44,0.12,0.02
1984/12/27,27.75,27.75,27.87,27.75,3531200,0.43,0.47,0.13,0.02
1984/12/28,27.75,28.75,28.87,27.62,5941600,4.5,3.6,1,0.04
1984/12/31,29.12,29.12,29.25,29.12,7453600,0.45,1.29,0.37,0.05
1985/1/2,29.12,27.87,29.12,27.87,6272800,4.29,-4.29,-1.25,0.04
1985/1/3,28.37,28.37,29.12,28.37,5967200,2.69,1.79,0.5,0.04
1985/1/4,28.37,28.37,28.5,28,4915200,1.76,0,0,0.03
1985/1/7,28.37,28.25,28.5,28.25,6117600,0.88,-0.42,-0.12,0.04
1985/1/8,28.25,28,28.5,28,5040000,1.77,-0.88,-0.25,0.03
1985/1/9,28.75,28.75,29.12,28.75,5973600,1.32,2.68,0.75,0.04
1985/1/10,30,30,30.12,30,9926400,0.42,4.35,1.25,0.07
1985/1/11,30,29.75,30.25,29.5,7347200,2.5,-0.83,-0.25,0.05
1985/1/14,30.62,30.62,30.87,30.62,9691200,0.84,2.92,0.87,0.06
1985/1/15,30.62,30,31.12,30,9476000,3.66,-2.02,-0.62,0.06
1985/1/16,30.25,30.25,30.75,30.25,6816000,1.67,0.83,0.25,0.05
1985/1/17,30.25,28.12,30.75,28.12,19573600,8.69,-7.04,-2.13,0.13
1985/1/18,28.12,28.62,29.25,28,12615200,4.45,1.78,0.5,0.08
1985/1/21,29.25,29.25,29.5,29.25,11635200,0.87,2.2,0.63,0.08
1985/1/22,30.12,30.12,30.25,30.12,15202400,0.44,2.97,0.87,0.1
1985/1/23,30.12,29.62,30.25,29.62,15384000,2.09,-1.66,-0.5,0.1
