Date,Open,Close,High,Low,Volume,Volatility,PercentageChange,Change,TurnoverRatio
1988-12-30,7.05,7.05,7.05,7.0,4365000,0.0,0.0,0.0,0.02
1989-01-02,7.05,7.05,7.05,7.05,0,0.0,0.0,0.0,0.0
1989-01-03,7.11,7.11,7.11,7.0,5568000,1.56,0.85,0.06,0.03
1989-01-04,7.11,7.11,7.11,7.05,4848000,0.84,0.0,0.0,0.03
1989-01-05,7.11,7.11,7.16,7.11,10320000,0.7,0.0,0.0,0.06
1989-01-06,7.16,7.16,7.16,7.11,7716000,0.7,0.7,0.05,0.04
1989-01-09,7.11,7.11,7.16,7.05,6219000,1.54,-0.7,-0.05,0.04
1989-01-10,7.22,7.22,7.27,7.11,12579000,2.25,1.55,0.11,0.07
1989-01-11,7.38,7.38,7.38,7.22,12747000,2.22,2.22,0.16,0.07
1989-01-12,7.55,7.55,7.55,7.33,16389000,2.98,2.3,0.17,0.09
1989-01-13,7.44,7.44,7.6,7.44,9237000,2.12,-1.46,-0.11,0.05
1989-01-16,7.44,7.44,7.55,7.44,6234000,1.48,0.0,0.0,0.04
1989-01-17,7.49,7.49,7.49,7.44,4773000,0.67,0.67,0.05,0.03
1989-01-18,7.49,7.49,7.55,7.49,5901000,0.8,0.0,0.0,0.03
1989-01-19,7.49,7.49,7.55,7.44,5412000,1.47,0.0,0.0,0.03
1989-01-20,7.44,7.44,7.49,7.38,4488000,1.47,-0.67,-0.05,0.03
1989-01-23,7.38,7.38,7.49,7.38,4416000,1.48,-0.81,-0.06,0.02
1989-01-24,7.49,7.49,7.49,7.38,4587000,1.49,1.49,0.11,0.03
1989-01-25,7.49,7.49,7.55,7.44,4275000,1.47,0.0,0.0,0.02
1989-01-26,7.44,7.44,7.49,7.44,3573000,0.67,-0.67,-0.05,0.02
1989-01-27,7.66,7.66,7.71,7.49,12525000,2.96,2.96,0.22,0.07
1989-01-30,7.99,7.99,8.04,7.82,26958000,2.87,4.31,0.33,0.15
1989-01-31,8.04,8.04,8.1,7.93,12060000,2.13,0.63,0.05,0.07
1989-02-01,7.99,7.99,8.1,7.99,10662000,1.37,-0.62,-0.05,0.06
1989-02-02,7.99,7.99,8.04,7.93,6870000,1.38,0.0,0.0,0.04
1989-02-03,8.1,8.1,8.15,7.99,6444000,2.0,1.38,0.11,0.04
1989-02-06,8.1,8.1,8.1,8.1,0,0.0,0.0,0.0,0.0
1989-02-07,8.1,8.1,8.1,8.1,0,0.0,0.0,0.0,0.0
1989-02-08,8.1,8.1,8.1,8.1,0,0.0,0.0,0.0,0.0
1989-02-09,8.26,8.26,8.32,8.15,21558000,2.1,1.98,0.16,0.12
1989-02-10,8.26,8.26,8.32,8.21,13689000,1.33,0.0,0.0,0.08
1989-02-13,8.21,8.21,8.26,8.15,9024000,1.33,-0.61,-0.05,0.05
1989-02-14,8.1,8.1,8.26,8.1,6771000,1.95,-1.34,-0.11,0.04
1989-02-15,8.1,8.1,8.26,8.04,7869000,2.72,0.0,0.0,0.04
1989-02-16,8.04,8.04,8.21,7.99,5943000,2.72,-0.74,-0.06,0.03
1989-02-17,8.04,8.04,8.1,7.99,8421000,1.37,0.0,0.0,0.05
1989-02-20,8.15,8.15,8.21,8.1,6606000,1.37,1.37,0.11,0.04
1989-02-21,8.21,8.21,8.21,8.15,6654000,0.74,0.74,0.06,0.04
1989-02-22,8.15,8.15,8.21,8.1,4575000,1.34,-0.73,-0.06,0.03
1989-02-23,8.04,8.04,8.15,8.04,4875000,1.35,-1.35,-0.11,0.03
1989-02-24,8.15,8.15,8.21,8.04,6243000,2.11,1.37,0.11,0.04
1989-02-27,8.04,8.04,8.1,7.99,5058000,1.35,-1.35,-0.11,0.03
1989-02-28,7.93,7.93,8.1,7.93,5676000,2.11,-1.37,-0.11,0.03
1989-03-01,8.04,8.04,8.04,7.93,5871000,1.39,1.39,0.11,0.03
1989-03-02,7.99,7.99,8.04,7.93,4674000,1.37,-0.62,-0.05,0.03
1989-03-03,8.04,8.04,8.1,7.99,4695000,1.38,0.63,0.05,0.03
1989-03-06,8.15,8.15,8.21,8.1,6564000,1.37,1.37,0.11,0.04
1989-03-07,8.26,8.26,8.26,8.15,5880000,1.35,1.35,0.11,0.03
1989-03-08,8.21,8.21,8.26,8.15,4659000,1.33,-0.61,-0.05,0.03
1989-03-09,8.21,8.21,8.21,8.21,0,0.0,0.0,0.0,0.0
1989-03-10,8.04,8.04,8.21,7.99,6204000,2.68,-2.07,-0.17,0.03
1989-03-13,7.93,7.93,8.04,7.88,6615000,1.99,-1.37,-0.11,0.04
1989-03-14,7.99,7.99,7.99,7.88,12234000,1.39,0.76,0.06,0.07
1989-03-15,8.21,8.21,8.21,8.1,21471000,1.38,2.75,0.22,0.12
1989-03-16,8.37,8.37,8.43,8.21,24072000,2.68,1.95,0.16,0.14
1989-03-17,8.37,8.37,8.48,8.32,16647000,1.91,0.0,0.0,0.09
1989-03-20,8.32,8.32,8.37,8.1,27063000,3.23,-0.6,-0.05,0.15
1989-03-21,8.32,8.32,8.32,8.21,8544000,1.32,0.0,0.0,0.05
1989-03-22,8.26,8.26,8.37,8.26,5406000,1.32,-0.72,-0.06,0.03
1989-03-23,8.21,8.21,8.26,8.21,3180000,0.61,-0.61,-0.05,0.02
1989-03-24,8.21,8.21,8.21,8.21,0,0.0,0.0,0.0,0.0
1989-03-27,8.21,8.21,8.21,8.21,0,0.0,0.0,0.0,0.0
1989-03-28,8.21,8.21,8.26,8.15,2916000,1.34,0.0,0.0,0.02
1989-03-29,8.15,8.15,8.21,8.1,1953000,1.34,-0.73,-0.06,0.01
1989-03-30,7.99,7.99,8.15,7.99,3327000,1.96,-1.96,-0.16,0.02
1989-03-31,8.04,8.04,8.1,7.99,7251000,1.38,0.63,0.05,0.04
1989-04-03,8.04,8.04,8.15,8.04,2976000,1.37,0.0,0.0,0.02
1989-04-04,8.04,8.04,8.1,7.99,3954000,1.37,0.0,0.0,0.02
1989-04-05,8.04,8.04,8.04,8.04,0,0.0,0.0,0.0,0.0
1989-04-06,8.1,8.1,8.15,8.04,3525000,1.37,0.75,0.06,0.02
1989-04-07,8.1,8.1,8.1,8.04,1920000,0.74,0.0,0.0,0.01
1989-04-10,8.1,8.1,8.1,8.1,0,0.0,0.0,0.0,0.0
1989-04-11,8.04,8.04,8.04,7.93,5331000,1.36,-0.74,-0.06,0.03
1989-04-12,8.1,8.1,8.15,8.04,8574000,1.37,0.75,0.06,0.05
1989-04-13,8.1,8.1,8.26,8.04,6471000,2.72,0.0,0.0,0.04
1989-04-14,7.88,7.88,7.94,7.82,8493000,1.48,-2.72,-0.22,0.05
1989-04-17,7.94,7.94,8.0,7.82,4713000,2.28,0.76,0.06,0.03
1989-04-18,7.88,7.88,8.0,7.88,4095000,1.51,-0.76,-0.06,0.02
1989-04-19,7.94,7.94,8.0,7.88,10326000,1.52,0.76,0.06,0.06
1989-04-20,7.82,7.82,7.88,7.82,2706000,0.76,-1.51,-0.12,0.02
1989-04-21,7.76,7.76,7.82,7.76,2118000,0.77,-0.77,-0.06,0.01
1989-04-24,7.7,7.7,7.76,7.64,3708000,1.55,-0.77,-0.06,0.02
1989-04-25,7.64,7.64,7.7,7.58,4449000,1.56,-0.78,-0.06,0.03
1989-04-26,7.64,7.64,7.7,7.64,3036000,0.79,0.0,0.0,0.02
1989-04-27,7.52,7.52,7.64,7.45,4416000,2.49,-1.57,-0.12,0.02
1989-04-28,7.58,7.58,7.64,7.52,6795000,1.6,0.8,0.06,0.04
1989-05-01,7.58,7.58,7.64,7.52,3612000,1.58,0.0,0.0,0.02
1989-05-02,7.64,7.64,7.64,7.58,6081000,0.79,0.79,0.06,0.03
1989-05-03,7.58,7.58,7.64,7.52,3294000,1.57,-0.79,-0.06,0.02
1989-05-04,7.64,7.64,7.7,7.52,4920000,2.37,0.79,0.06,0.03
1989-05-05,7.76,7.76,7.76,7.7,6003000,0.79,1.57,0.12,0.03
1989-05-08,7.76,7.76,7.82,7.7,7986000,1.55,0.0,0.0,0.04
1989-05-09,7.7,7.7,7.76,7.64,5283000,1.55,-0.77,-0.06,0.03
1989-05-10,7.7,7.7,7.76,7.64,4431000,1.56,0.0,0.0,0.02
1989-05-11,7.7,7.7,7.7,7.64,4854000,0.78,0.0,0.0,0.03
1989-05-12,7.76,7.76,7.76,7.64,6660000,1.56,0.78,0.06,0.04
1989-05-15,7.94,7.94,7.94,7.82,16338000,1.55,2.32,0.18,0.09
1989-05-16,8.0,8.0,8.06,7.94,14946000,1.51,0.76,0.06,0.08
1989-05-17,7.88,7.88,8.0,7.82,6246000,2.25,-1.5,-0.12,0.04
1989-05-18,7.94,7.94,8.0,7.76,8406000,3.05,0.76,0.06,0.05
1989-05-19,7.64,7.64,7.88,7.58,9753000,3.78,-3.78,-0.3,0.05
1989-05-22,7.09,7.09,7.27,6.85,22821000,5.5,-7.2,-0.55,0.13
1989-05-23,7.64,7.64,7.76,7.27,18087000,6.91,7.76,0.55,0.1
1989-05-24,7.39,7.39,7.76,7.33,11775000,5.63,-3.27,-0.25,0.07
1989-05-25,7.09,7.09,7.15,6.79,23649000,4.87,-4.06,-0.3,0.13
1989-05-26,7.21,7.21,7.21,6.85,14127000,5.08,1.69,0.12,0.08
1989-05-29,7.33,7.33,7.39,7.15,10362000,3.33,1.66,0.12,0.06
1989-05-30,7.27,7.27,7.45,7.21,5127000,3.27,-0.82,-0.06,0.03
1989-05-31,7.15,7.15,7.27,7.09,5103000,2.48,-1.65,-0.12,0.03
1989-06-01,7.09,7.09,7.21,7.03,5676000,2.52,-0.84,-0.06,0.03
1989-06-02,7.09,7.09,7.09,6.97,7665000,1.69,0.0,0.0,0.04
1989-06-05,6.0,6.0,6.18,5.82,38670000,5.08,-15.37,-1.09,0.22
1989-06-06,6.24,6.24,6.3,5.88,32310000,7.0,4.0,0.24,0.18
1989-06-07,6.36,6.36,6.73,6.24,31593000,7.85,1.92,0.12,0.18
1989-06-08,6.36,6.36,6.36,6.36,0,0.0,0.0,0.0,0.0
1989-06-09,6.67,6.67,6.79,6.55,23415000,3.77,4.87,0.31,0.13
1989-06-12,6.97,6.97,6.97,6.73,18690000,3.6,4.5,0.3,0.11
1989-06-13,6.79,6.79,6.91,6.67,10896000,3.44,-2.58,-0.18,0.06
1989-06-14,6.85,6.85,6.91,6.67,8268000,3.53,0.88,0.06,0.05
1989-06-15,6.73,6.73,6.85,6.67,4284000,2.63,-1.75,-0.12,0.02
1989-06-16,6.73,6.73,6.79,6.67,7815000,1.78,0.0,0.0,0.04
1989-06-19,6.73,6.73,6.73,6.73,0,0.0,0.0,0.0,0.0
1989-06-20,6.73,6.73,6.85,6.73,8523000,1.78,0.0,0.0,0.05
1989-06-21,6.61,6.61,6.73,6.61,5277000,1.78,-1.78,-0.12,0.03
1989-06-22,6.48,6.48,6.55,6.36,9576000,2.87,-1.97,-0.13,0.05
1989-06-23,6.48,6.48,6.55,6.42,7350000,2.01,0.0,0.0,0.04
1989-06-26,6.55,6.55,6.55,6.48,6141000,1.08,1.08,0.07,0.03
1989-06-27,6.42,6.42,6.55,6.36,5577000,2.9,-1.98,-0.13,0.03
1989-06-28,6.42,6.42,6.48,6.42,3678000,0.93,0.0,0.0,0.02
