Date,Open,Close,High,Low,Volume,Volatility,PercentageChange,Change,TurnoverRatio
2001-08-27,34.51,35.55,37.78,32.85,406318,15.71,13.25,4.16,56.83
2001-08-28,34.99,36.86,37.0,34.61,129647,6.72,3.68,1.31,18.13
2001-08-29,36.98,36.38,37.0,36.1,53252,2.44,-1.3,-0.48,7.45
2001-08-30,36.28,37.1,37.51,36.0,48013,4.15,1.98,0.72,6.72
2001-08-31,37.15,37.01,37.62,36.8,23231,2.21,-0.24,-0.09,3.25
2001-09-03,37.2,36.99,37.57,36.85,22112,1.95,-0.05,-0.02,3.09
2001-09-04,37.01,37.46,38.08,36.88,37006,3.24,1.27,0.47,5.18
2001-09-05,37.61,37.44,37.92,37.21,26066,1.9,-0.05,-0.02,3.65
2001-09-06,37.35,36.7,37.47,36.51,28997,2.56,-1.98,-0.74,4.06
2001-09-07,36.5,35.68,36.95,35.65,31552,3.54,-2.78,-1.02,4.41
2001-09-10,35.4,36.7,36.85,35.01,18878,5.16,2.86,1.02,2.64
2001-09-11,36.8,36.29,36.95,36.2,11390,2.04,-1.12,-0.41,1.59
2001-09-12,35.33,35.98,36.2,35.3,25045,2.48,-0.85,-0.31,3.5
2001-09-13,36.01,35.89,36.3,35.7,10986,1.67,-0.25,-0.09,1.54
2001-09-14,36.01,36.3,36.5,35.8,7672,1.95,1.14,0.41,1.07
2001-09-17,36.08,35.84,36.29,35.5,8983,2.18,-1.27,-0.46,1.26
2001-09-18,35.88,36.25,36.55,35.85,10773,1.95,1.14,0.41,1.51
2001-09-19,36.3,36.92,36.92,36.06,8650,2.37,1.85,0.67,1.21
2001-09-20,36.9,36.61,37.05,36.5,11173,1.49,-0.84,-0.31,1.56
2001-09-21,36.28,36.06,36.6,36.0,7879,1.64,-1.5,-0.55,1.1
2001-09-24,36.06,36.05,36.39,36.0,4068,1.08,-0.03,-0.01,0.57
2001-09-25,36.28,36.23,36.54,36.05,3488,1.36,0.5,0.18,0.49
2001-09-26,36.11,36.08,36.48,36.0,4956,1.32,-0.41,-0.15,0.69
2001-09-27,36.08,36.7,36.98,36.0,8778,2.72,1.72,0.62,1.23
2001-09-28,36.9,37.09,37.2,36.5,17088,1.91,1.06,0.39,2.39
2001-10-08,37.0,36.58,37.18,36.25,6552,2.51,-1.38,-0.51,0.92
2001-10-09,36.6,37.3,37.5,36.6,9558,2.46,1.97,0.72,1.34
2001-10-10,37.3,36.1,37.43,36.03,17548,3.75,-3.22,-1.2,2.45
2001-10-11,36.01,35.75,36.5,35.65,12306,2.35,-0.97,-0.35,1.72
2001-10-12,35.9,36.0,36.65,34.05,20010,7.27,0.7,0.25,2.8
2001-10-15,35.9,35.3,36.0,34.9,9755,3.06,-1.94,-0.7,1.36
2001-10-16,35.13,34.8,35.8,34.75,8319,2.97,-1.42,-0.5,1.16
2001-10-17,34.79,34.2,34.81,33.9,12507,2.61,-1.72,-0.6,1.75
2001-10-18,34.2,34.04,34.66,33.91,4983,2.19,-0.47,-0.16,0.7
2001-10-19,34.0,33.5,34.15,33.01,15687,3.35,-1.59,-0.54,2.19
2001-10-22,33.3,32.79,33.7,32.7,9760,2.99,-2.12,-0.71,1.37
2001-10-23,36.0,36.07,36.07,35.01,40598,3.23,10.0,3.28,5.68
2001-10-24,36.78,35.86,36.8,35.11,40682,4.69,-0.58,-0.21,5.69
2001-10-25,35.7,34.88,35.8,34.86,16036,2.62,-2.73,-0.98,2.24
2001-10-26,34.7,35.0,35.1,34.42,9002,1.95,0.34,0.12,1.26
2001-10-29,34.88,35.3,35.63,34.88,4587,2.14,0.86,0.3,0.64
2001-10-30,35.25,35.0,35.49,34.92,3484,1.61,-0.85,-0.3,0.49
2001-10-31,35.0,35.05,35.09,34.8,4762,0.83,0.14,0.05,0.67
2001-11-01,35.05,35.57,35.64,34.95,6643,1.97,1.48,0.52,0.93
2001-11-02,35.28,35.36,35.72,35.16,3435,1.57,-0.59,-0.21,0.48
2001-11-05,35.0,34.9,35.26,34.7,3690,1.58,-1.3,-0.46,0.52
2001-11-06,34.8,35.15,35.3,34.72,2609,1.66,0.72,0.25,0.36
2001-11-07,35.0,33.85,35.0,33.8,9325,3.41,-3.7,-1.3,1.3
2001-11-08,33.35,33.7,33.89,32.98,7402,2.69,-0.44,-0.15,1.04
2001-11-09,33.7,34.15,34.48,33.34,3760,3.38,1.34,0.45,0.53
2001-11-12,34.4,33.6,34.4,33.52,2683,2.58,-1.61,-0.55,0.38
2001-11-13,33.28,33.64,33.7,33.21,2673,1.46,0.12,0.04,0.37
2001-11-14,33.64,33.65,34.0,33.64,769,1.07,0.03,0.01,0.11
2001-11-15,33.65,33.68,33.8,33.5,2193,0.89,0.09,0.03,0.31
2001-11-16,36.2,34.09,36.2,33.99,9954,6.56,1.22,0.41,1.39
2001-11-19,34.15,35.05,35.08,34.1,9955,2.87,2.82,0.96,1.39
2001-11-20,35.2,35.38,35.53,34.9,3735,1.8,0.94,0.33,0.52
2001-11-21,35.48,35.18,35.5,34.9,5114,1.7,-0.57,-0.2,0.72
2001-11-22,35.22,35.12,35.3,34.91,4198,1.11,-0.17,-0.06,0.59
2001-11-23,35.01,34.98,35.25,34.78,3960,1.34,-0.4,-0.14,0.55
2001-11-26,35.0,34.61,35.0,34.5,3100,1.43,-1.06,-0.37,0.43
2001-11-27,34.58,35.0,35.07,34.58,2569,1.42,1.13,0.39,0.36
2001-11-28,35.05,35.05,35.39,34.9,3773,1.4,0.14,0.05,0.53
2001-11-29,35.01,34.83,35.2,34.81,3046,1.11,-0.63,-0.22,0.43
2001-11-30,34.83,35.34,35.45,34.8,4070,1.87,1.46,0.51,0.57
2001-12-03,35.35,36.17,36.27,35.34,16037,2.63,2.35,0.83,2.24
2001-12-04,36.25,36.23,36.27,35.81,6894,1.27,0.17,0.06,0.96
2001-12-05,37.0,36.0,37.0,35.96,15028,2.87,-0.63,-0.23,2.1
2001-12-06,35.9,36.06,36.3,35.8,6372,1.39,0.17,0.06,0.89
2001-12-07,36.1,35.86,36.2,35.8,3908,1.11,-0.55,-0.2,0.55
2001-12-10,36.0,35.99,36.08,35.71,4162,1.03,0.36,0.13,0.58
2001-12-11,36.0,35.64,36.0,35.61,3580,1.08,-0.97,-0.35,0.5
2001-12-12,35.6,35.77,36.1,35.6,4633,1.4,0.36,0.13,0.65
2001-12-13,35.61,35.26,35.97,35.2,3540,2.15,-1.43,-0.51,0.5
