Date,Open,Close,High,Low,Volume,Volatility,PercentageChange,Change,TurnoverRatio
1986/3/13,26,28,29.5,25.5,3582600,19.05,33.33,7,0.05
1986/3/14,28,29,29.5,28,1070000,5.36,3.57,1,0.01
1986/3/17,29.25,29.5,29.75,29,462400,2.59,1.72,0.5,0.01
1986/3/18,29.75,28.75,29.75,28.5,230800,4.24,-2.54,-0.75,0
1986/3/19,28.75,28.25,29,28,166300,3.48,-1.74,-0.5,0
1986/3/20,28.25,27.5,28.25,27.25,202900,3.54,-2.65,-0.75,0
1986/3/21,27.25,26.75,28,26.25,208300,6.36,-2.73,-0.75,0
1986/3/24,26.38,26,26.75,25.75,226700,3.74,-2.8,-0.75,0
1986/3/25,26,26.5,26.5,25.75,111400,2.88,1.92,0.5,0
1986/3/26,26.5,27.25,27.5,26.25,79000,4.72,2.83,0.75,0
1986/3/27,27.5,27.75,27.75,27.25,58500,1.83,1.83,0.5,0
1986/3/31,27.75,27.5,27.75,27,44700,2.7,-0.9,-0.25,0
1986/4/1,27.25,27.25,27.5,27.25,38500,0.91,-0.91,-0.25,0
1986/4/2,27.5,27.5,28,27.25,93800,2.75,0.92,0.25,0
1986/4/3,28,27.75,28.5,27.75,80000,2.73,0.91,0.25,0
1986/4/4,27.75,27.75,28,27.75,92300,0.9,0,0,0
1986/4/7,27.75,27.25,28,26.75,57500,4.5,-1.8,-0.5,0
1986/4/8,27.5,27.5,28,27.25,35600,2.75,0.92,0.25,0
1986/4/9,27.75,28,28.25,27.5,42200,2.73,1.82,0.5,0
1986/4/10,27.75,28.25,28.5,27.5,48200,3.57,0.89,0.25,0
1986/4/11,28.75,28.75,29.25,28.5,59800,2.65,1.77,0.5,0
1986/4/14,28.75,29,29.25,28.75,42200,1.74,0.87,0.25,0
1986/4/15,29,29,29,28,32300,3.45,0,0,0
1986/4/16,29,30,30.25,28.75,110800,5.17,3.45,1,0
1986/4/17,30.25,30.25,30.25,30,76400,0.83,0.83,0.25,0
1986/4/18,30,29.25,30.25,29,75100,4.13,-3.31,-1,0
1986/4/21,29,29.25,29.5,28.5,79600,3.42,0,0,0
1986/4/22,29,28.75,29.25,28.75,54000,1.71,-1.71,-0.5,0
1986/4/23,29,28.88,29,28.5,54200,1.74,0.45,0.13,0
1986/4/24,28.75,31.75,32.25,28.75,216100,12.12,9.94,2.87,0
1986/4/25,32.25,33.75,35.13,32,296700,9.86,6.3,2,0
1986/4/28,34.25,34,34.25,33.5,100300,2.22,0.74,0.25,0
1986/4/29,34,33,34,32.75,105300,3.68,-2.94,-1,0
1986/4/30,33.25,32.25,33.25,31.5,104300,5.3,-2.27,-0.75,0
1986/5/1,31.75,31.75,32.25,31.25,188700,3.1,-1.55,-0.5,0
1986/5/2,31.75,31.75,32.25,31.5,70300,2.36,0,0,0
1986/5/5,31.5,31.5,31.75,31.5,11300,0.79,-0.79,-0.25,0
1986/5/6,32,31.75,32.25,31.75,33800,1.59,0.79,0.25,0
1986/5/7,32,31.75,32,31.25,17900,2.36,0,0,0
1986/5/8,31.75,32,32,31.5,12300,1.57,0.79,0.25,0
1986/5/9,32,31.75,32,31.75,21100,0.78,-0.78,-0.25,0
1986/5/12,32.25,32,32.75,31.75,36400,3.15,0.79,0.25,0
1986/5/13,32.5,32.25,32.5,32,13300,1.56,0.78,0.25,0
1986/5/14,32.25,32,32.25,32,32300,0.78,-0.78,-0.25,0
1986/5/15,32.25,32,32.5,32,13200,1.56,0,0,0
1986/5/16,32.25,32.25,33,32,41500,3.13,0.78,0.25,0
1986/5/19,32,31.5,32.25,31.5,38200,2.33,-2.33,-0.75,0
1986/5/20,31.5,31.5,31.75,31.25,15200,1.59,0,0,0
1986/5/21,31.75,31,31.75,31,28100,2.38,-1.59,-0.5,0
1986/5/22,31,31,31.25,31,15300,0.81,0,0,0
1986/5/23,31.25,31,31.5,31,14200,1.61,0,0,0
1986/5/27,31,32,32,31,48200,3.23,3.23,1,0
1986/5/28,32.25,33,33,32,53900,3.13,3.13,1,0
1986/5/29,33,33.75,34.25,32.75,158600,4.55,2.27,0.75,0
1986/5/30,34.25,34.75,35.5,34,114000,4.44,2.96,1,0
1986/6/2,34.75,34,35,34,68500,2.88,-2.16,-0.75,0
1986/6/3,33.75,34,34,33.5,17400,1.47,0,0,0
1986/6/4,34,33.75,34.25,33.5,16400,2.21,-0.74,-0.25,0
1986/6/5,33.75,34.25,34.25,33.5,47600,2.22,1.48,0.5,0
1986/6/6,33.75,34.25,34.25,33.75,11900,1.46,0,0,0
1986/6/9,34.25,32.75,34.25,32.75,44000,4.38,-4.38,-1.5,0
1986/6/10,32.75,32.75,32.75,32.25,11900,1.53,0,0,0
1986/6/11,32.75,32.75,32.75,32.25,8000,1.53,0,0,0
1986/6/12,32.5,31.5,32.75,31.25,47600,4.58,-3.82,-1.25,0
1986/6/13,31.25,31.5,31.75,31.25,27400,1.59,0,0,0
1986/6/16,31.75,31.25,31.75,31,33300,2.38,-0.79,-0.25,0
1986/6/17,31.5,31.75,32.25,31.5,45400,2.4,1.6,0.5,0
1986/6/18,31.75,31.5,31.75,31,15100,2.36,-0.79,-0.25,0
1986/6/19,31.5,31.25,31.75,31,29400,2.38,-0.79,-0.25,0
1986/6/20,31.5,31.38,31.5,31.25,13200,0.8,0.42,0.13,0
1986/6/23,31.25,31.75,31.75,30.75,160400,3.19,1.18,0.37,0
1986/6/24,31.75,31.5,32,31.25,50600,2.36,-0.79,-0.25,0
1986/6/25,31.5,31,31.75,31,52900,2.38,-1.59,-0.5,0
1986/6/26,31.25,30,31.25,30,66500,4.03,-3.23,-1,0
1986/6/27,30.25,29.75,30.25,29.5,36100,2.5,-0.83,-0.25,0
1986/6/30,29.5,30.75,31.5,29.5,216500,6.72,3.36,1,0
1986/7/1,30.5,30.75,30.75,30.5,165200,0.81,0,0,0
1986/7/2,30.75,30.75,30.75,30.5,182700,0.81,0,0,0
1986/7/3,31.25,31.25,31.5,31,49100,1.63,1.63,0.5,0
1986/7/7,31.25,30,31.25,30,48800,4,-4,-1.25,0
1986/7/8,29.75,29.25,30,29,49500,3.33,-2.5,-0.75,0
1986/7/9,29.25,28,29.25,27.75,160200,5.13,-4.27,-1.25,0
1986/7/10,28.25,27.25,28.25,26,162800,8.04,-2.68,-0.75,0
1986/7/11,27.5,28,28.5,27.25,60400,4.59,2.75,0.75,0
1986/7/14,28.25,27.63,28.25,27.25,99300,3.57,-1.32,-0.37,0
1986/7/15,27.5,28,28.5,27.25,45800,4.52,1.34,0.37,0
1986/7/16,28.25,29,29,28.25,32500,2.68,3.57,1,0
1986/7/17,29,29.5,29.5,28.75,24100,2.59,1.72,0.5,0
1986/7/18,29.5,29.75,30,28.75,42800,4.24,0.85,0.25,0
1986/7/21,30.25,29.75,30.25,29.75,12200,1.68,0,0,0
1986/7/22,30.25,30.75,30.75,29.75,36500,3.36,3.36,1,0
1986/7/23,31.13,30,31.25,30,72200,4.07,-2.44,-0.75,0
1986/7/24,30.75,31,31.5,30.5,49100,3.33,3.33,1,0
1986/7/25,31,31.25,31.5,31,71000,1.61,0.81,0.25,0
1986/7/28,31,30.5,31.25,30.5,41000,2.4,-2.4,-0.75,0
1986/7/29,30.5,29.75,30.75,29.25,48800,4.92,-2.46,-0.75,0
1986/7/30,29.75,28.75,29.75,27.75,91700,6.72,-3.36,-1,0
1986/7/31,28.75,28.5,29,28.5,54300,1.74,-0.87,-0.25,0
1986/8/1,28.75,28.25,28.75,28,44800,2.63,-0.88,-0.25,0
1986/8/4,28.25,28.25,28.25,27.5,43200,2.65,0,0,0
1986/8/5,28.25,28,28.5,28,9800,1.77,-0.88,-0.25,0
1986/8/6,28.25,27.75,28.25,27.25,60600,3.57,-0.89,-0.25,0
1986/8/7,27.75,27.5,28,27.25,12700,2.7,-0.9,-0.25,0
1986/8/8,27.5,27.75,28.25,27.5,14400,2.73,0.91,0.25,0
1986/8/11,28.5,28.75,29,28.25,27600,2.7,3.6,1,0
1986/8/12,28.75,29.5,29.5,28.75,34700,2.61,2.61,0.75,0
1986/8/13,29.5,29.75,29.75,29.25,23900,1.69,0.85,0.25,0
1986/8/14,29.75,30.5,30.75,29.75,69900,3.36,2.52,0.75,0
1986/8/15,30.5,30.63,30.75,30.25,21200,1.64,0.43,0.13,0
1986/8/18,30.75,30.25,30.75,30.25,44400,1.63,-1.24,-0.38,0
1986/8/19,30.25,30.25,30.38,29.75,70800,2.08,0,0,0
