Date,12ema,20sd,26ema,Change,Close,FT 100 components,FT 27 components,FT 3 components,FT 6 components,FT 81 components,FT 9 components,High,Low,MACD,Open,PercentageChange,TurnoverRatio,Volatility,Volume,ema,lower_band,ma21,ma7,momentum,upper_band
2015-01-02,111.72695601323504,2.2795117209880345,111.90117224913499,-1.05,109.33,99.87226303940945,81.88419575253407,297.1659843823887,265.7235025491089,133.25477352416448,211.80092877862575,111.44,107.35,-0.17421623589994795,111.39,-0.95,0.91,3.71,53096191,109.96280887272898,107.47192893897632,112.03095238095239,112.09714285714286,108.33,116.58997582292845
2015-01-05,110.88434739581426,2.433728945642961,111.48256689734721,-3.08,106.25,99.31745271048422,81.19034759389395,297.08446363772464,265.27374630210375,132.47923427247548,211.03393155270825,108.65,105.41,-0.5982195015329523,108.29,-2.82,1.05,2.96,61065973,107.48760295757633,106.70158972776171,111.56904761904764,111.19857142857143,105.25,116.43650551033356
2015-01-06,110.17290933491975,2.5328811869445853,111.09571009013631,0.01,106.26,98.83212827105348,80.51652730168996,297.00282933958977,264.82415720938184,131.6708668121106,210.26814402990107,107.43,104.63,-0.9228007552165565,106.54,0.01,1.13,2.64,65565949,106.66920098585878,106.06519000706321,111.13095238095238,110.37714285714284,105.26,116.19671475484155
2015-01-07,109.8001540526244,2.6040826249765945,110.84787971308917,1.49,107.75,98.41797706513033,79.86269326416523,296.92108171013484,264.3747384866873,130.83262240845605,209.50357573463828,108.2,106.69,-1.0477256604647636,107.2,1.4,0.68,1.42,39723689,107.38973366195292,105.57850141671348,110.78666666666666,109.4857142857143,106.75,115.99483191661984
2015-01-08,110.1185918906822,2.4944086952137665,110.92359232693443,4.12,111.87,98.07640620733243,79.22880022124825,296.8392209716099,263.9254933469261,129.96748856884955,208.74023616741465,112.15,108.7,-0.8050004362522287,109.23,3.82,1.01,3.2,58761565,110.37657788731764,105.77261118100104,110.76142857142857,109.1942857142857,110.87,115.7502459618561
2015-01-09,110.40957775365416,2.495002162602193,111.00406696938371,0.14,112.01,97.80854100522026,78.61479928219735,296.75724734636356,263.47642500013706,129.07848156974995,207.9781348046244,113.25,110.21,-0.5944892157295527,112.67,0.13,0.92,2.72,53452528,111.46552596243923,105.67047186527181,110.66047619047619,109.12142857142858,111.01,115.65048051568057
2015-01-12,110.2311811761689,2.49998415822782,110.8741360827627,-2.76,109.25,97.61522437555746,78.02063794403131,296.67516105684217,263.0275366534623,128.1686389917367,207.2172810984003,112.63,108.8,-0.6429549065938005,112.6,-2.46,0.85,3.42,49297135,109.98850865414641,105.53003168354437,110.53,108.96000000000001,108.25,115.52996831645564
2015-01-13,110.22023022598907,2.49686097705868,110.82123711366918,0.91,110.16,97.49701724556279,77.4462601107419,296.59296232558967,262.5788315111189,127.24101227855262,206.4576844764543,112.8,108.91,-0.6010068876801142,111.43,0.83,1.15,3.56,66704571,110.10283621804881,105.46675423635884,110.4604761904762,109.07857142857144,109.16,115.45419814459356
2015-01-14,110.14019480660615,2.448459021683519,110.73818251265665,-0.46,109.7,97.45419992698604,76.8916061132807,296.51065137524614,262.13031277436977,126.2986593362537,205.69935434191706,110.49,108.5,-0.5979877060505032,109.04,-0.42,0.83,1.81,48197982,109.8342787393496,105.5564152899663,110.45333333333333,109.57142857142857,108.7,115.35025137670037
2015-01-15,109.63554945174366,2.434557941462282,110.45090973394133,-2.84,106.86,97.48677444766827,76.35661273031752,296.428228428548,261.68198364149504,125.34463718834645,204.9423000731798,110.06,106.66,-0.8153602821976733,110.0,-2.59,1.01,3.1,58558205,107.85142624644986,105.51850316469448,110.38761904761904,109.65714285714286,105.86,115.2567349305436
2015-01-16,109.06700338224462,2.6344728828245114,110.1167682721679,-0.92,105.94,97.59446782216145,75.84121320976107,296.3456937083267,261.23384730776274,124.38199470258135,204.18653102373463,107.58,105.2,-1.0497648899232814,107.03,-0.86,1.32,2.23,76790477,106.57714208214996,105.08295899625574,110.35190476190476,109.39857142857143,104.94,115.62085052755378
2015-01-20,109.02284901574545,2.6028350437696295,110.01774840015547,2.84,108.78,97.7767362399749,75.34533729103964,296.263047437508,260.7859069654003,123.413765404817,203.43205652201695,108.96,106.5,-0.9948993844100187,107.84,2.68,0.82,2.32,47700888,108.04571402738333,105.12194896007979,110.32761904761905,108.95714285714287,107.78,115.53328913515831
2015-01-21,109.23010301332307,2.5770830106969544,110.04384111125508,1.59,110.37,98.03277014711406,74.8689112281331,296.1802898391122,260.33816580356586,122.44296039509294,202.67888587124816,111.06,108.27,-0.8137380979320028,108.95,1.46,0.38,2.56,22291410,109.59523800912778,105.06488159765371,110.21904761904761,108.72285714285714,109.37,115.37321364044152
2015-01-22,109.71777947281183,2.548889128893488,110.21837139931027,2.03,112.4,98.36150019377612,74.41185781335031,296.09742113625254,259.89062700831954,121.47256138073168,201.9270283492779,112.47,109.72,-0.5005919264984442,110.26,1.84,0.85,2.49,49684704,111.46507933637594,105.15079317078447,110.24857142857144,109.17285714285713,111.4,115.34634968635841
2015-01-23,110.21965955391771,2.572717997887542,110.42293648084285,0.58,112.98,98.76160401838612,73.9740964018458,296.0144415521346,259.44329376259464,120.5055138409495,201.17649320842756,113.75,111.53,-0.20327692692514177,112.3,0.52,0.79,1.98,45951078,112.47502644545864,105.10504019470112,110.2504761904762,109.57571428571428,111.98,115.3959121862513
2015-01-26,110.66278885331498,2.625509424618304,110.6212374822619,0.12,113.1,99.2315138355955,73.55554293686981,295.93135131005647,258.99616924616913,119.5447203370796,200.42728967533478,114.36,112.8,0.041551371053074604,113.74,0.11,0.9,1.38,52580597,112.89167548181955,105.02612400790625,110.27714285714286,110.06142857142856,112.1,115.52816170637948
2015-01-27,110.42697518357421,2.47599182717434,110.51077544653879,-3.97,109.13,99.76942479343884,73.15610997574274,295.848150633407,258.5492566356368,118.59303398210815,199.67942695079688,112.48,109.03,-0.08380026296457288,112.42,-3.51,1.33,3.05,77719040,110.38389182727319,105.18801634565132,110.14,110.38571428571429,108.13,115.09198365434868
2015-01-28,111.17820977071665,2.6100733508188845,110.86627356160999,6.18,115.31,100.37330406255433,72.77570671654932,295.76483974566594,258.10255910437905,117.65325208279346,198.93291420961657,118.12,115.31,0.311936209106662,117.62,5.66,2.49,2.57,145104646,113.66796394242441,104.98271044121938,110.20285714285716,111.7242857142857,114.31,115.42300384449493
2015-01-29,112.3661774982987,3.244738697097689,111.46136440889813,3.59,118.9,101.04090061822961,72.4142390255437,295.6814188704028,257.65607982253607,116.7281099671778,198.18776060044698,119.19,115.56,0.9048130894005624,116.32,3.11,1.44,3.15,83729464,117.15598798080815,103.95099879628081,110.44047619047619,113.17,117.9,116.92995358467157
2015-01-30,113.10368865240657,3.585776690704516,111.88348556379458,-1.74,117.16,101.7697556740444,72.07160946525902,295.5978882312766,257.2098219569784,115.8202750098199,197.44397524563786,120.0,116.85,1.2202030886119957,118.4,-1.46,1.42,2.65,82447706,117.15866266026939,103.48987519001953,110.66142857142856,114.14,116.16,117.83298195283759
2015-02-02,113.95389039819017,3.983104416330001,112.38322737388388,1.47,118.63,102.55721372404507,71.74771732331381,295.51424805203493,256.7637886712787,114.93234086656456,196.70156724108193,119.17,116.08,1.5706630243062847,118.05,1.25,1.07,2.64,62078735,118.13955422008979,103.08807688162572,111.05428571428573,115.03,117.63,119.02049454694573
2015-02-03,114.6640611061609,4.136669490737177,112.84150682767026,-0.06,118.57,103.40043414871677,71.44245864190681,295.43049855651316,256.31798312568304,114.06682193013503,195.960545656062,119.09,117.61,1.8225542784906423,118.5,-0.05,0.89,1.25,51573567,118.42651807336325,103.22094673281134,111.4942857142857,115.82857142857142,117.57,119.76762469576005
2015-02-04,115.41728247444382,4.273339967237955,113.33917298858357,0.99,119.56,104.29640333851178,71.15572624799347,295.346639968634,255.8724084770825,113.22614801727778,195.22091953309814,120.51,118.31,2.078109485860253,118.5,0.83,1.2,1.86,69707153,119.18217269112108,103.58141530361931,112.12809523809521,116.75142857142858,118.56,120.67477517257112
2015-02-05,116.11308517068323,4.438126560873161,113.82812313757738,0.38,119.94,105.2419472873622,70.88740978413635,295.262672512407,255.4270678789854,112.41265929761289,194.48269788779658,120.23,119.25,2.284962033105856,120.02,0.32,0.72,0.82,42049717,119.68739089704036,103.90327068777749,112.77952380952381,118.29571428571428,118.94,121.65577693127013
2015-02-06,116.54645668288582,4.6180451550994,114.20603994220127,-1.01,118.93,106.23374460744434,70.63739574001926,295.1785964119276,254.98196448148818,111.62860147375264,193.74588970869746,120.25,118.45,2.340416740684546,120.02,-0.84,0.74,1.5,43327287,119.1824636323468,104.07581445170597,113.31190476190477,118.81285714285715,117.93,122.54799507210357
2015-02-09,117.03161719321108,4.813619138697031,114.61299994648266,0.77,119.7,107.26833991547977,70.40556748461965,295.09441189137624,254.5371014312476,110.87612122162875,193.0105039571246,119.84,118.43,2.4186172467284166,118.55,0.65,0.65,1.19,37748448,119.52748787744893,104.05752362736786,113.68476190476191,118.92714285714285,118.7,123.31200018215597
2015-02-10,117.79906070194784,5.025013328267902,115.16166661711357,2.32,122.02,108.34215754005716,70.19180529902859,295.0101191750184,254.09248187145272,110.15726189934782,192.2765495670347,122.15,120.16,2.63739408483427,120.17,1.94,1.06,1.66,61615410,121.18916262581631,104.11140191489275,114.16142857142856,119.62142857142858,121.02,124.21145522796436
2015-02-11,118.88843597857124,5.431764373794688,115.88154316399407,2.86,124.88,109.45151549883494,69.99598640991174,294.92571848720337,253.6481089417962,109.47395953224243,191.5440354448683,124.92,122.5,3.0068928145771707,122.77,2.34,1.25,1.98,72734227,123.64972087527211,104.04218553812491,114.90571428571428,120.51428571428572,123.88,125.76924303330365
2015-02-12,120.04559967417566,5.821625089792908,116.66142885555007,1.53,126.41,110.59263969404456,69.81798502360023,294.84121005236375,253.20398577844657,108.82803908112999,190.8129704693998,127.48,125.57,3.3841708186255914,126.06,1.23,1.26,1.53,73386944,125.48990695842404,104.036273629938,115.67952380952381,121.63428571428571,125.41,127.32277398910963
2015-02-13,121.12781510891787,5.909799600467132,117.43317486625006,0.67,127.08,111.76167827445522,69.65767236080542,294.756594095015,252.7601155140201,108.22121100011705,190.08336349158955,127.28,125.65,3.694640242667816,127.28,0.53,0.89,1.29,52053515,126.54996898614134,104.68754365620858,116.50714285714284,122.70857142857143,126.08,128.32674205807712
2015-02-17,122.15892047677667,5.781346046307129,118.20331006134263,0.75,127.83,112.9547161118806,69.51491669194563,294.6718708397541,252.31650127755228,107.65506808960714,189.35522333443495,128.88,126.92,3.9556104154340375,127.49,0.59,1.08,1.54,62947443,127.40332299538045,105.94302219310005,117.5057142857143,123.83571428571427,126.83,129.06840637832858
2015-02-18,123.16677886496488,5.810799813757864,118.98158339013206,0.88,128.71,114.16778934041224,69.38958337307892,294.5870405112598,251.87314619447062,107.13108264947765,188.62855879282384,128.78,127.45,4.185195474832824,127.62,0.69,0.76,1.04,44050161,128.27444099846016,106.9684003724843,118.59000000000002,125.23285714285714,127.71000000000001,130.21159962751574
2015-02-19,123.97958211650874,5.790704415998092,119.68294758345561,-0.26,128.45,115.39689990684239,69.2815348824292,294.5021033342913,251.43005338656593,106.65060393669192,187.9033786333867,129.03,128.33,4.296634533053123,128.48,-0.2,0.64,0.54,37172719,128.39148033282004,107.94525783467049,119.52666666666667,126.48285714285713,127.44999999999999,131.10807549866286
2015-02-20,124.82733871396893,5.872950392917275,120.40939591060706,1.04,129.49,116.63803008119447,69.19063085749954,294.41705953368796,250.98722597196488,106.21485593090931,187.17969159435094,129.5,128.05,4.417942803361868,128.62,0.81,0.83,1.13,48442705,129.1238267776067,108.6912420713083,120.43714285714285,127.54999999999998,128.49,132.1830436429774
2015-02-23,126.08467121951217,6.161960556236208,121.3420332505621,3.51,133.0,117.88715687690852,69.11672813276087,294.33190933436833,250.54466706510186,105.8249354109443,186.45750638539457,133.0,129.66,4.742637968950078,130.02,2.71,1.16,2.58,67810009,131.70794225920224,109.0941741256228,121.41809523809522,128.71,132.0,133.74201635056764
2015-02-24,127.02087564727952,6.213582130833009,122.14410486163158,-0.83,132.17,119.1402663310298,69.05968077790742,294.2466529613297,250.1023797766912,105.48181034421847,185.73683168750125,133.6,131.17,4.876770785647949,132.94,-0.62,1.18,1.83,68916484,132.0159807530674,109.90474050023873,122.33190476190475,129.53285714285715,131.17,134.75906902357076
2015-02-25,127.28381785539037,5.4430363770479016,122.63194894595517,-3.44,128.73,120.39336759570563,69.01934013666903,294.1612906396472,249.6603672136995,105.1863185906279,185.01767615281534,131.6,128.15,4.651868909435194,131.56,-2.6,1.27,2.61,73773018,129.82532691768913,112.19011772209467,123.07619047619048,129.76857142857142,127.72999999999999,133.96226323028628
2015-02-26,127.76476895456108,5.251155537169713,123.20810087588443,1.68,130.41,121.64250679342882,68.99555486617093,294.07582259447355,249.2186324793176,104.93916692154488,184.30004840449809,130.87,126.61,4.556668078676651,128.78,1.31,1.51,3.31,88008744,130.21510897256303,113.58721273518437,124.0895238095238,130.13714285714286,129.41,134.5918348838632
2015-02-27,127.87480450001323,5.146606316866437,123.59861192211521,-1.93,128.48,122.88378058973929,68.98817097682931,293.990249051038,248.7771786729331,104.74093035395462,183.5839570365837,130.57,128.24,4.276192577898016,130.0,-1.48,1.05,1.79,61180707,129.058369657521,114.42345403293378,124.71666666666665,130.1042857142857,127.47999999999999,135.00987930039952
