FIT Profiler Report

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                               	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                	|  -              	|  261509         	|  8266.2         	|  100 %          	|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                   	|  82.504         	|  100            	|  8250.4         	|  99.809         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                         	|  0.70445        	|  6100           	|  4297.2         	|  51.985         	|
|  run_training_batch                                                                                                                                                   	|  0.64158        	|  6100           	|  3913.6         	|  47.345         	|
|  [LightningModule]Mamba.optimizer_step                                                                                                                                	|  0.63906        	|  6100           	|  3898.3         	|  47.159         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                              	|  0.5836         	|  6100           	|  3560.0         	|  43.066         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                         	|  0.046881       	|  6100           	|  285.97         	|  3.4596         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                       	|  0.10099        	|  101            	|  10.2           	|  0.12339        	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                           	|  0.0016695      	|  6100           	|  10.184         	|  0.1232         	|
|  [_EvaluationLoop].val_next                                                                                                                                           	|  0.096069       	|  101            	|  9.703          	|  0.11738        	|
|  [LightningModule]Mamba.optimizer_zero_grad                                                                                                                           	|  0.00042656     	|  6100           	|  2.602          	|  0.031478       	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                       	|  0.00025399     	|  6201           	|  1.575          	|  0.019054       	|
|  [LightningModule]Mamba.transfer_batch_to_device                                                                                                                      	|  0.000214       	|  6201           	|  1.327          	|  0.016053       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.0072         	|  100            	|  0.72           	|  0.0087102      	|
|  [LightningModule]Mamba.configure_gradient_clipping                                                                                                                   	|  4.3607e-05     	|  6100           	|  0.266          	|  0.0032179      	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                       	|  0.00125        	|  100            	|  0.125          	|  0.0015122      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.7705e-05     	|  6100           	|  0.108          	|  0.0013065      	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_epoch_end                                                                                     	|  0.00079        	|  100            	|  0.079          	|  0.0009557      	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                         	|  0.00062        	|  100            	|  0.062          	|  0.00075004     	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                  	|  0.00060396     	|  101            	|  0.061          	|  0.00073795     	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                          	|  0.00047525     	|  101            	|  0.048          	|  0.00058068     	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                        	|  0.00045545     	|  101            	|  0.046          	|  0.00055648     	|
|  [Callback]ModelCheckpoint{'monitor': 'val_RMSE', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step 	|  7.541e-06      	|  6100           	|  0.046          	|  0.00055648     	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                    	|  0.00044554     	|  101            	|  0.045          	|  0.00054439     	|
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                      	|  5.2459e-06     	|  6100           	|  0.032          	|  0.00038712     	|
|  [Callback]ModelSummary.on_train_batch_start                                                                                                                          	|  2.623e-06      	|  6100           	|  0.016          	|  0.00019356     	|
|  [LightningModule]Mamba.on_train_batch_start                                                                                                                          	|  2.623e-06      	|  6100           	|  0.016          	|  0.00019356     	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_zero_grad                                                                                    	|  2.623e-06      	|  6100           	|  0.016          	|  0.00019356     	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_backward                                                                                     	|  2.623e-06      	|  6100           	|  0.016          	|  0.00019356     	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_before_optimizer_step                                                                               	|  2.623e-06      	|  6100           	|  0.016          	|  0.00019356     	|
|  [Callback]TQDMProgressBar.on_before_optimizer_step                                                                                                                   	|  2.623e-06      	|  6100           	|  0.016          	|  0.00019356     	|
|  [LightningModule]Mamba.on_validation_model_zero_grad                                                                                                                 	|  0.00016        	|  100            	|  0.016          	|  0.00019356     	|
|  [LightningModule]Mamba.prepare_data                                                                                                                                  	|  0.015          	|  1              	|  0.015          	|  0.00018146     	|
|  [LightningModule]Mamba.on_validation_model_eval                                                                                                                      	|  0.00014851     	|  101            	|  0.015          	|  0.00018146     	|
|  [LightningModule]Mamba.on_before_batch_transfer                                                                                                                      	|  2.419e-06      	|  6201           	|  0.015          	|  0.00018146     	|
|  [Callback]EarlyStopping{'monitor': 'val_loss', 'mode': 'min'}.on_train_batch_start                                                                                   	|  2.459e-06      	|  6100           	|  0.015          	|  0.00018146     	|
