epoch,step,test_RMSE,train_loss,val_RMSE,val_loss
0,9,,0.0003040730662178248,,
0,19,,0.00037149927811697125,,
0,29,,0.00029691230156458914,,
0,39,,0.0002205376367783174,,
0,49,,0.00014082601410336792,,
0,59,,0.0003173230215907097,,
0,60,,,182.62510681152344,0.00011284838546998799
1,69,,0.00011915653885807842,,
1,79,,0.00010891284910030663,,
1,89,,0.00013738725101575255,,
1,99,,9.717148350318894e-05,,
1,109,,0.00010172295878874138,,
1,119,,0.00017552656936459243,,
1,121,,,195.17739868164062,0.00012083294132025912
2,129,,9.892662637867033e-05,,
2,139,,0.0001568688458064571,,
2,149,,0.00013177630899008363,,
2,159,,0.00018871801148634404,,
2,169,,9.42195620154962e-05,,
2,179,,7.304039900191128e-05,,
2,182,,,140.74530029296875,8.693194104125723e-05
3,189,,7.402085611829534e-05,,
3,199,,0.00011695642024278641,,
3,209,,0.00013816032151225954,,
3,219,,9.828839392866939e-05,,
3,229,,9.701374074211344e-05,,
3,239,,7.927217666292563e-05,,
3,243,,,129.10520935058594,7.963829557411373e-05
4,249,,0.00013111696171108633,,
4,259,,7.08595835021697e-05,,
4,269,,8.15105959190987e-05,,
4,279,,9.490177762927487e-05,,
4,289,,7.918316259747371e-05,,
4,299,,0.0001659147092141211,,
4,304,,,109.3321304321289,6.751628097845241e-05
5,309,,6.949652743060142e-05,,
5,319,,8.689836249686778e-05,,
5,329,,0.00010601332905935124,,
5,339,,8.478814561385661e-05,,
5,349,,8.341893408214673e-05,,
5,359,,6.144063809188083e-05,,
5,365,,,127.50019836425781,7.879433542257175e-05
6,369,,7.78659014031291e-05,,
6,379,,6.494098488474265e-05,,
6,389,,8.218274160753936e-05,,
6,399,,5.322586730471812e-05,,
6,409,,5.541785867535509e-05,,
6,419,,5.710604818887077e-05,,
6,426,,,141.45687866210938,8.740970952203497e-05
7,429,,8.120571146719158e-05,,
7,439,,4.617487502400763e-05,,
7,449,,6.741319521097466e-05,,
7,459,,7.626630394952372e-05,,
7,469,,7.062738586682826e-05,,
7,479,,7.180146349128336e-05,,
7,487,,,103.97016143798828,6.428714550565928e-05
8,489,,6.104451313149184e-05,,
8,499,,4.6412282245000824e-05,,
8,509,,8.642208558740094e-05,,
8,519,,4.879481275565922e-05,,
8,529,,5.652493200614117e-05,,
8,539,,4.941724182572216e-05,,
8,548,,,83.98644256591797,5.183748362469487e-05
9,549,,5.1424780394881964e-05,,
9,559,,4.3219068174948916e-05,,
9,569,,4.8646492359694093e-05,,
9,579,,6.0242917243158445e-05,,
9,589,,3.467251735855825e-05,,
9,599,,5.229860107647255e-05,,
9,609,,8.358775085071102e-05,,
9,609,,,74.3766098022461,4.593982157530263e-05
10,619,,5.1692721172003075e-05,,
10,629,,6.175957241794094e-05,,
10,639,,0.00011787474795710295,,
10,649,,4.0508406527806073e-05,,
10,659,,6.380801642080769e-05,,
10,669,,7.550819282187149e-05,,
10,670,,,51.5396728515625,3.1600251531926915e-05
11,679,,5.82383836444933e-05,,
11,689,,6.393849616870284e-05,,
11,699,,5.511104973265901e-05,,
11,709,,6.915970152476802e-05,,
11,719,,4.26330698246602e-05,,
11,729,,5.0853494030889124e-05,,
11,731,,,92.1890869140625,5.69831499888096e-05
12,739,,5.128185512148775e-05,,
12,749,,4.8422880354337394e-05,,
12,759,,4.0877359424484894e-05,,
12,769,,5.815103941131383e-05,,
12,779,,6.303788541117683e-05,,
12,789,,3.868558633257635e-05,,
12,792,,,50.201236724853516,3.085878779529594e-05
13,799,,2.9527616788982414e-05,,
13,809,,5.173775207367726e-05,,
13,819,,3.8971360481809825e-05,,
13,829,,5.836118361912668e-05,,
13,839,,3.276946154073812e-05,,
13,849,,4.6134708099998534e-05,,
13,853,,,60.03739547729492,3.688125070766546e-05
14,859,,3.935964559786953e-05,,
14,869,,4.030192576465197e-05,,
14,879,,9.02029059943743e-05,,
14,889,,3.853482849081047e-05,,
14,899,,3.9610131352674216e-05,,
14,909,,3.888280116370879e-05,,
14,914,,,56.07464599609375,3.4505945222917944e-05
15,919,,5.545275780605152e-05,,
15,929,,4.3780939449789e-05,,
15,939,,5.4446554713649675e-05,,
15,949,,3.3205746149178594e-05,,
15,959,,4.2155490518780425e-05,,
15,969,,3.333108179504052e-05,,
15,975,,,65.54529571533203,4.044946763315238e-05
16,979,,3.015622314705979e-05,,
16,989,,4.732955130748451e-05,,
16,999,,3.2486575946677476e-05,,
16,1009,,4.0348877519136295e-05,,
16,1019,,2.8620934244827367e-05,,
16,1029,,2.7717418561223894e-05,,
16,1036,,,67.76557159423828,4.1757328290259466e-05
17,1039,,4.977777280146256e-05,,
17,1049,,7.155939965741709e-05,,
17,1059,,3.4905431675724685e-05,,
17,1069,,7.599863602081314e-05,,
17,1079,,4.6066634240560234e-05,,
17,1089,,3.767447196878493e-05,,
17,1097,,,33.689239501953125,2.0482941181398928e-05
18,1099,,5.836557102156803e-05,,
18,1109,,3.525182546582073e-05,,
18,1119,,4.52180283900816e-05,,
18,1129,,4.414336217450909e-05,,
18,1139,,5.332603177521378e-05,,
18,1149,,8.577607513871044e-05,,
18,1158,,,71.32039642333984,4.4040585635229945e-05
19,1159,,4.559470835374668e-05,,
19,1169,,4.14834103139583e-05,,
19,1179,,6.186134123709053e-05,,
19,1189,,5.2402130677364767e-05,,
19,1199,,5.642104952130467e-05,,
19,1209,,2.812001184793189e-05,,
19,1219,,6.17048644926399e-05,,
19,1219,,,32.03826141357422,1.933358180394862e-05
20,1229,,4.498607449932024e-05,,
20,1239,,2.5273348001064733e-05,,
20,1249,,5.146556577528827e-05,,
20,1259,,4.575428829411976e-05,,
20,1269,,3.454401667113416e-05,,
20,1279,,2.7758875148720108e-05,,
20,1280,,,34.607093811035156,2.0999643311370164e-05
21,1289,,6.32597875664942e-05,,
21,1299,,5.015606802771799e-05,,
21,1309,,2.6840201826416887e-05,,
21,1319,,3.8943366234889254e-05,,
21,1329,,3.411564466659911e-05,,
21,1339,,2.372173548792489e-05,,
21,1341,,,28.785484313964844,1.740880725265015e-05
22,1349,,4.657961108023301e-05,,
22,1359,,6.106586806708947e-05,,
22,1369,,3.2577056117588654e-05,,
22,1379,,2.379193938395474e-05,,
22,1389,,4.758180148201063e-05,,
22,1399,,4.919260391034186e-05,,
22,1402,,,46.13031768798828,2.8255608413019218e-05
23,1409,,3.170632044202648e-05,,
23,1419,,3.9874928916106e-05,,
23,1429,,2.6212099328404292e-05,,
23,1439,,4.6057975850999355e-05,,
23,1449,,2.908409442170523e-05,,
23,1459,,3.968255259678699e-05,,
23,1463,,,44.53399658203125,2.716990275075659e-05
24,1469,,3.162013308610767e-05,,
24,1479,,3.4662632970139384e-05,,
24,1489,,3.552458656486124e-05,,
24,1499,,2.404870610916987e-05,,
24,1509,,3.707758150994778e-05,,
24,1519,,3.0572424293495715e-05,,
24,1524,,,35.670963287353516,2.1726098566432483e-05
25,1529,,2.5823634132393636e-05,,
25,1539,,3.060035305679776e-05,,
25,1549,,3.343770367791876e-05,,
25,1559,,2.6002460799645633e-05,,
25,1569,,3.283404657850042e-05,,
25,1579,,3.264027327531949e-05,,
25,1585,,,35.49477005004883,2.1763689801446162e-05
26,1589,,2.4723753085709177e-05,,
26,1599,,3.6780169466510415e-05,,
26,1609,,4.434841684997082e-05,,
26,1619,,2.9798538889735937e-05,,
26,1629,,3.9560345612699166e-05,,
26,1639,,2.4549557565478608e-05,,
26,1646,,,45.331172943115234,2.7949618015554734e-05
27,1649,,3.441064109210856e-05,,
27,1659,,3.481530075077899e-05,,
27,1669,,2.8104248485760763e-05,,
27,1679,,4.4879277993459255e-05,,
27,1689,,3.638808993855491e-05,,
27,1699,,2.6789013645611703e-05,,
27,1707,,,36.89463806152344,2.2651835024589673e-05
28,1709,,2.6923997211270034e-05,,
28,1719,,2.4114131520036608e-05,,
28,1729,,2.718017640290782e-05,,
28,1739,,3.6745368561241776e-05,,
28,1749,,3.766341251321137e-05,,
28,1759,,3.0185137802618556e-05,,
28,1768,,,41.78791427612305,2.5666411602287553e-05
29,1769,,2.9192218789830804e-05,,
29,1779,,1.9585402696975507e-05,,
29,1789,,3.4245644201291725e-05,,
29,1799,,2.5930299671017565e-05,,
29,1809,,2.6667748898034915e-05,,
29,1819,,2.5399815058335662e-05,,
29,1829,,2.2618896764470264e-05,,
29,1829,,,24.33852767944336,1.4673856640001759e-05
30,1839,,3.140141780022532e-05,,
30,1849,,2.2942846044315957e-05,,
30,1859,,2.796154331008438e-05,,
30,1869,,5.622136450256221e-05,,
30,1879,,3.1297669920604676e-05,,
30,1889,,2.2401260139304213e-05,,
30,1890,,,25.283830642700195,1.5407296814373694e-05
31,1899,,2.606725502118934e-05,,
31,1909,,4.530618753051385e-05,,
31,1919,,4.57829337392468e-05,,
31,1929,,3.712218313012272e-05,,
31,1939,,2.5972856747102924e-05,,
31,1949,,2.0356872482807375e-05,,
31,1951,,,18.84135627746582,1.120619799621636e-05
32,1959,,3.0875380616635084e-05,,
32,1969,,3.408300472074188e-05,,
32,1979,,2.6290121240890585e-05,,
32,1989,,2.4284523533424363e-05,,
32,1999,,3.208064299542457e-05,,
32,2009,,2.7983347536064684e-05,,
32,2012,,,33.77168655395508,2.073770338029135e-05
33,2019,,3.405502502573654e-05,,
33,2029,,1.9764411263167858e-05,,
33,2039,,2.4209402909036726e-05,,
33,2049,,2.628401853144169e-05,,
33,2059,,2.058316931652371e-05,,
33,2069,,1.9384982806514017e-05,,
33,2073,,,31.488950729370117,1.9060173144680448e-05
34,2079,,3.554755312507041e-05,,
34,2089,,3.595119414967485e-05,,
34,2099,,6.246541306609288e-05,,
34,2109,,2.009724994422868e-05,,
34,2119,,2.105469502566848e-05,,
34,2129,,2.1222460418357514e-05,,
34,2134,,,28.875913619995117,1.7650248992140405e-05
35,2139,,3.6370638554217294e-05,,
35,2149,,2.2855332645121962e-05,,
35,2159,,1.7592148651601747e-05,,
35,2169,,2.2577822164748795e-05,,
35,2179,,1.6269332263618708e-05,,
35,2189,,3.0093882742221467e-05,,
35,2195,,,31.70073699951172,1.9422390323597938e-05
36,2199,,2.8771788493031636e-05,,
36,2209,,3.745456342585385e-05,,
36,2219,,2.2208065274753608e-05,,
36,2229,,2.1509657017304562e-05,,
36,2239,,3.7368379707913846e-05,,
36,2249,,2.629496157169342e-05,,
36,2256,,,38.289241790771484,2.350824070163071e-05
37,2259,,4.37016824434977e-05,,
37,2269,,4.750181324197911e-05,,
37,2279,,1.9775403416133486e-05,,
37,2289,,2.7866955861099996e-05,,
37,2299,,4.794608321390115e-05,,
37,2309,,3.248280336265452e-05,,
37,2317,,,41.751338958740234,2.5618632207624614e-05
38,2319,,3.261989331804216e-05,,
38,2329,,2.815783409459982e-05,,
38,2339,,3.4187251003459096e-05,,
38,2349,,2.570686410763301e-05,,
38,2359,,2.7872942155227065e-05,,
38,2369,,2.415335075056646e-05,,
38,2378,,,35.130455017089844,2.155924630642403e-05
39,2379,,2.6148756660404615e-05,,
39,2389,,2.4397049855906516e-05,,
39,2399,,2.0588511688401923e-05,,
39,2409,,3.412436490179971e-05,,
39,2419,,2.0582894649123773e-05,,
39,2429,,3.573246067389846e-05,,
39,2439,,2.4069606297416613e-05,,
39,2439,,,25.773683547973633,1.572430119267665e-05
40,2449,,2.881468753912486e-05,,
40,2459,,2.66927745542489e-05,,
40,2469,,2.1629486582241952e-05,,
40,2479,,1.7342055798508227e-05,,
40,2489,,2.3519234673585743e-05,,
40,2499,,3.0131324820104055e-05,,
40,2500,,,52.45003128051758,3.232077870052308e-05
41,2509,,2.48543728957884e-05,,
41,2519,,1.7092865164158866e-05,,
41,2529,,2.0868019419140182e-05,,
41,2539,,2.1975423805997707e-05,,
41,2549,,2.5602037567296065e-05,,
41,2559,,2.016887992795091e-05,,
41,2561,,,26.571502685546875,1.6088830307126045e-05
42,2569,,4.195287328911945e-05,,
42,2579,,4.653757423511706e-05,,
42,2589,,2.864661109924782e-05,,
42,2599,,1.7814501916291192e-05,,
42,2609,,1.8574462956166826e-05,,
42,2619,,1.4647454918303993e-05,,
42,2622,,,22.465675354003906,1.3645104445458855e-05
43,2629,,1.796745891624596e-05,,
43,2639,,1.894361230370123e-05,,
43,2649,,1.6685668015270494e-05,,
43,2659,,3.320563700981438e-05,,
43,2669,,2.9625764000229537e-05,,
43,2679,,2.808106910379138e-05,,
43,2683,,,22.2018985748291,1.3448398931359407e-05
44,2689,,2.2550515495822765e-05,,
44,2699,,2.5216782887582667e-05,,
44,2709,,2.5119046767940745e-05,,
44,2719,,2.1079396901768632e-05,,
44,2729,,2.2373853425960988e-05,,
44,2739,,2.5929915864253417e-05,,
44,2744,,,24.481401443481445,1.4855633708066307e-05
45,2749,,2.274120197398588e-05,,
45,2759,,1.7368762200931087e-05,,
45,2769,,1.8588352759252302e-05,,
45,2779,,2.3946842702571303e-05,,
45,2789,,1.8447843103786e-05,,
45,2799,,1.544573206047062e-05,,
45,2805,,,34.98765182495117,2.1422212739707902e-05
46,2809,,2.0937042791047134e-05,,
46,2819,,1.4735102013219148e-05,,
46,2829,,1.7679703887552023e-05,,
46,2839,,2.2360300135915168e-05,,
46,2849,,1.8706781702348962e-05,,
46,2859,,2.8544498491100967e-05,,
46,2866,,,28.449542999267578,1.7365005987812765e-05
47,2869,,1.8520095181884244e-05,,
47,2879,,3.3156298741232604e-05,,
47,2889,,2.501132075849455e-05,,
47,2899,,2.301314270880539e-05,,
47,2909,,2.0713639969471842e-05,,
47,2919,,2.3699383746134117e-05,,
47,2927,,,27.8841609954834,1.7001033484120853e-05
