epoch,avg_train_loss,val_loss,model
0,0.00009512,0.00000997,RevIN-CNN-iTransformer-BiLSTM
1,0.00004354,0.00000610,RevIN-CNN-iTransformer-BiLSTM
2,0.00002080,0.00000336,RevIN-CNN-iTransformer-BiLSTM
3,0.00001111,0.00000167,RevIN-CNN-iTransformer-BiLSTM
4,0.00000485,0.00000108,RevIN-CNN-iTransformer-BiLSTM
5,0.00000550,0.00000102,RevIN-CNN-iTransformer-BiLSTM
6,0.00000300,0.00000104,RevIN-CNN-iTransformer-BiLSTM
7,0.00002753,0.00000087,RevIN-CNN-iTransformer-BiLSTM
8,0.00000247,0.00000108,RevIN-CNN-iTransformer-BiLSTM
9,0.00000407,0.00000079,RevIN-CNN-iTransformer-BiLSTM
10,0.00000359,0.00000078,RevIN-CNN-iTransformer-BiLSTM
11,0.00000519,0.00000079,RevIN-CNN-iTransformer-BiLSTM
12,0.00000303,0.00000078,RevIN-CNN-iTransformer-BiLSTM
13,0.00000222,0.00000076,RevIN-CNN-iTransformer-BiLSTM
14,0.00000276,0.00000067,RevIN-CNN-iTransformer-BiLSTM
15,0.00000177,0.00000074,RevIN-CNN-iTransformer-BiLSTM
16,0.00000242,0.00000067,RevIN-CNN-iTransformer-BiLSTM
17,0.00000195,0.00000069,RevIN-CNN-iTransformer-BiLSTM
18,0.00000243,0.00000069,RevIN-CNN-iTransformer-BiLSTM
19,0.00000153,0.00000060,RevIN-CNN-iTransformer-BiLSTM
20,0.00000154,0.00000062,RevIN-CNN-iTransformer-BiLSTM
21,0.00000165,0.00000064,RevIN-CNN-iTransformer-BiLSTM
22,0.00000148,0.00000063,RevIN-CNN-iTransformer-BiLSTM
23,0.00000173,0.00000059,RevIN-CNN-iTransformer-BiLSTM
24,0.00000153,0.00000060,RevIN-CNN-iTransformer-BiLSTM
25,0.00000140,0.00000058,RevIN-CNN-iTransformer-BiLSTM
26,0.00000143,0.00000056,RevIN-CNN-iTransformer-BiLSTM
27,0.00000167,0.00000055,RevIN-CNN-iTransformer-BiLSTM
28,0.00000145,0.00000057,RevIN-CNN-iTransformer-BiLSTM
29,0.00000150,0.00000056,RevIN-CNN-iTransformer-BiLSTM
30,0.00000165,0.00000055,RevIN-CNN-iTransformer-BiLSTM
31,0.00000239,0.00000059,RevIN-CNN-iTransformer-BiLSTM
32,0.00000203,0.00000052,RevIN-CNN-iTransformer-BiLSTM
33,0.00000132,0.00000060,RevIN-CNN-iTransformer-BiLSTM
34,0.00000165,0.00000053,RevIN-CNN-iTransformer-BiLSTM
35,0.00000121,0.00000059,RevIN-CNN-iTransformer-BiLSTM
36,0.00000117,0.00000053,RevIN-CNN-iTransformer-BiLSTM
37,0.00000098,0.00000049,RevIN-CNN-iTransformer-BiLSTM
38,0.00000103,0.00000054,RevIN-CNN-iTransformer-BiLSTM
39,0.00000116,0.00000051,RevIN-CNN-iTransformer-BiLSTM
40,0.00000142,0.00000051,RevIN-CNN-iTransformer-BiLSTM
41,0.00000133,0.00000050,RevIN-CNN-iTransformer-BiLSTM
42,0.00000103,0.00000055,RevIN-CNN-iTransformer-BiLSTM
43,0.00000091,0.00000055,RevIN-CNN-iTransformer-BiLSTM
44,0.00000149,0.00000051,RevIN-CNN-iTransformer-BiLSTM
45,0.00000067,0.00000052,RevIN-CNN-iTransformer-BiLSTM
46,0.00000104,0.00000054,RevIN-CNN-iTransformer-BiLSTM
47,0.00000098,0.00000057,RevIN-CNN-iTransformer-BiLSTM
48,0.00000122,0.00000054,RevIN-CNN-iTransformer-BiLSTM
49,0.00000109,0.00000056,RevIN-CNN-iTransformer-BiLSTM
50,0.00000123,0.00000051,RevIN-CNN-iTransformer-BiLSTM
51,0.00000105,0.00000053,RevIN-CNN-iTransformer-BiLSTM
52,0.00000101,0.00000054,RevIN-CNN-iTransformer-BiLSTM
53,0.00000089,0.00000053,RevIN-CNN-iTransformer-BiLSTM
54,0.00000087,0.00000053,RevIN-CNN-iTransformer-BiLSTM
55,0.00000082,0.00000054,RevIN-CNN-iTransformer-BiLSTM
56,0.00000093,0.00000052,RevIN-CNN-iTransformer-BiLSTM
57,0.00000088,0.00000054,RevIN-CNN-iTransformer-BiLSTM
58,0.00000110,0.00000050,RevIN-CNN-iTransformer-BiLSTM
59,0.00000093,0.00000052,RevIN-CNN-iTransformer-BiLSTM
60,0.00000111,0.00000055,RevIN-CNN-iTransformer-BiLSTM
61,0.00000108,0.00000054,RevIN-CNN-iTransformer-BiLSTM
62,0.00000103,0.00000052,RevIN-CNN-iTransformer-BiLSTM
63,0.00000089,0.00000053,RevIN-CNN-iTransformer-BiLSTM
64,0.00000069,0.00000052,RevIN-CNN-iTransformer-BiLSTM
65,0.00000083,0.00000051,RevIN-CNN-iTransformer-BiLSTM
66,0.00000083,0.00000050,RevIN-CNN-iTransformer-BiLSTM
67,0.00000086,0.00000049,RevIN-CNN-iTransformer-BiLSTM
68,0.00000081,0.00000049,RevIN-CNN-iTransformer-BiLSTM
69,0.00000082,0.00000052,RevIN-CNN-iTransformer-BiLSTM
70,0.00000082,0.00000048,RevIN-CNN-iTransformer-BiLSTM
71,0.00000086,0.00000056,RevIN-CNN-iTransformer-BiLSTM
72,0.00000087,0.00000055,RevIN-CNN-iTransformer-BiLSTM
73,0.00000082,0.00000050,RevIN-CNN-iTransformer-BiLSTM
74,0.00000077,0.00000054,RevIN-CNN-iTransformer-BiLSTM
75,0.00000075,0.00000053,RevIN-CNN-iTransformer-BiLSTM
76,0.00000078,0.00000053,RevIN-CNN-iTransformer-BiLSTM
77,0.00000076,0.00000050,RevIN-CNN-iTransformer-BiLSTM
78,0.00000071,0.00000053,RevIN-CNN-iTransformer-BiLSTM
79,0.00000074,0.00000051,RevIN-CNN-iTransformer-BiLSTM
80,0.00000077,0.00000053,RevIN-CNN-iTransformer-BiLSTM
81,0.00000068,0.00000053,RevIN-CNN-iTransformer-BiLSTM
82,0.00000072,0.00000050,RevIN-CNN-iTransformer-BiLSTM
83,0.00000068,0.00000051,RevIN-CNN-iTransformer-BiLSTM
84,0.00000069,0.00000048,RevIN-CNN-iTransformer-BiLSTM
85,0.00000073,0.00000050,RevIN-CNN-iTransformer-BiLSTM
86,0.00000069,0.00000056,RevIN-CNN-iTransformer-BiLSTM
87,0.00000073,0.00000050,RevIN-CNN-iTransformer-BiLSTM
88,0.00000078,0.00000048,RevIN-CNN-iTransformer-BiLSTM
89,0.00000066,0.00000049,RevIN-CNN-iTransformer-BiLSTM
90,0.00000072,0.00000055,RevIN-CNN-iTransformer-BiLSTM
91,0.00000067,0.00000052,RevIN-CNN-iTransformer-BiLSTM
92,0.00000063,0.00000051,RevIN-CNN-iTransformer-BiLSTM
93,0.00000061,0.00000051,RevIN-CNN-iTransformer-BiLSTM
94,0.00000063,0.00000054,RevIN-CNN-iTransformer-BiLSTM
95,0.00000068,0.00000051,RevIN-CNN-iTransformer-BiLSTM
96,0.00000061,0.00000049,RevIN-CNN-iTransformer-BiLSTM
97,0.00000064,0.00000051,RevIN-CNN-iTransformer-BiLSTM
98,0.00000061,0.00000048,RevIN-CNN-iTransformer-BiLSTM
99,0.00000060,0.00000051,RevIN-CNN-iTransformer-BiLSTM
0,0.00010542,0.00001787,RevIN-CNN-Transformer-BiLSTM
1,0.00006226,0.00001579,RevIN-CNN-Transformer-BiLSTM
2,0.00002876,0.00000899,RevIN-CNN-Transformer-BiLSTM
3,0.00001789,0.00000516,RevIN-CNN-Transformer-BiLSTM
4,0.00001288,0.00000287,RevIN-CNN-Transformer-BiLSTM
5,0.00000840,0.00000213,RevIN-CNN-Transformer-BiLSTM
6,0.00000815,0.00000145,RevIN-CNN-Transformer-BiLSTM
7,0.00000472,0.00000144,RevIN-CNN-Transformer-BiLSTM
8,0.00000314,0.00000134,RevIN-CNN-Transformer-BiLSTM
9,0.00000595,0.00000120,RevIN-CNN-Transformer-BiLSTM
10,0.00000274,0.00000106,RevIN-CNN-Transformer-BiLSTM
11,0.00000436,0.00000104,RevIN-CNN-Transformer-BiLSTM
12,0.00000335,0.00000092,RevIN-CNN-Transformer-BiLSTM
13,0.00000289,0.00000091,RevIN-CNN-Transformer-BiLSTM
14,0.00004038,0.00000078,RevIN-CNN-Transformer-BiLSTM
15,0.00003951,0.00000089,RevIN-CNN-Transformer-BiLSTM
16,0.00000187,0.00000071,RevIN-CNN-Transformer-BiLSTM
17,0.00000312,0.00000076,RevIN-CNN-Transformer-BiLSTM
18,0.00000322,0.00000092,RevIN-CNN-Transformer-BiLSTM
19,0.00000597,0.00000105,RevIN-CNN-Transformer-BiLSTM
20,0.00000368,0.00000070,RevIN-CNN-Transformer-BiLSTM
21,0.00000266,0.00000074,RevIN-CNN-Transformer-BiLSTM
22,0.00000353,0.00000091,RevIN-CNN-Transformer-BiLSTM
23,0.00000198,0.00000084,RevIN-CNN-Transformer-BiLSTM
24,0.00002836,0.00000078,RevIN-CNN-Transformer-BiLSTM
25,0.00000150,0.00000079,RevIN-CNN-Transformer-BiLSTM
26,0.00000199,0.00000081,RevIN-CNN-Transformer-BiLSTM
27,0.00000268,0.00000109,RevIN-CNN-Transformer-BiLSTM
28,0.00000177,0.00000098,RevIN-CNN-Transformer-BiLSTM
29,0.00000220,0.00000091,RevIN-CNN-Transformer-BiLSTM
30,0.00000191,0.00000084,RevIN-CNN-Transformer-BiLSTM
31,0.00000248,0.00000090,RevIN-CNN-Transformer-BiLSTM
32,0.00000143,0.00000086,RevIN-CNN-Transformer-BiLSTM
33,0.00000201,0.00000090,RevIN-CNN-Transformer-BiLSTM
34,0.00000201,0.00000088,RevIN-CNN-Transformer-BiLSTM
35,0.00000263,0.00000135,RevIN-CNN-Transformer-BiLSTM
36,0.00000161,0.00000088,RevIN-CNN-Transformer-BiLSTM
37,0.00000493,0.00000091,RevIN-CNN-Transformer-BiLSTM
38,0.00000140,0.00000094,RevIN-CNN-Transformer-BiLSTM
39,0.00000143,0.00000098,RevIN-CNN-Transformer-BiLSTM
40,0.00000158,0.00000095,RevIN-CNN-Transformer-BiLSTM
41,0.00000192,0.00000100,RevIN-CNN-Transformer-BiLSTM
42,0.00000158,0.00000092,RevIN-CNN-Transformer-BiLSTM
43,0.00000126,0.00000118,RevIN-CNN-Transformer-BiLSTM
44,0.00001112,0.00000092,RevIN-CNN-Transformer-BiLSTM
45,0.00000116,0.00000097,RevIN-CNN-Transformer-BiLSTM
46,0.00000204,0.00000097,RevIN-CNN-Transformer-BiLSTM
47,0.00000180,0.00000100,RevIN-CNN-Transformer-BiLSTM
48,0.00001498,0.00000106,RevIN-CNN-Transformer-BiLSTM
49,0.00000150,0.00000101,RevIN-CNN-Transformer-BiLSTM
50,0.00000152,0.00000101,RevIN-CNN-Transformer-BiLSTM
51,0.00000153,0.00000103,RevIN-CNN-Transformer-BiLSTM
52,0.00000134,0.00000105,RevIN-CNN-Transformer-BiLSTM
53,0.00000133,0.00000104,RevIN-CNN-Transformer-BiLSTM
54,0.00000129,0.00000102,RevIN-CNN-Transformer-BiLSTM
55,0.00000130,0.00000100,RevIN-CNN-Transformer-BiLSTM
56,0.00000300,0.00000105,RevIN-CNN-Transformer-BiLSTM
57,0.00000342,0.00000112,RevIN-CNN-Transformer-BiLSTM
58,0.00000494,0.00000155,RevIN-CNN-Transformer-BiLSTM
59,0.00000444,0.00000105,RevIN-CNN-Transformer-BiLSTM
60,0.00000314,0.00000098,RevIN-CNN-Transformer-BiLSTM
61,0.00000269,0.00000095,RevIN-CNN-Transformer-BiLSTM
62,0.00000235,0.00000088,RevIN-CNN-Transformer-BiLSTM
63,0.00000221,0.00000090,RevIN-CNN-Transformer-BiLSTM
64,0.00000216,0.00000092,RevIN-CNN-Transformer-BiLSTM
65,0.00000210,0.00000093,RevIN-CNN-Transformer-BiLSTM
66,0.00000204,0.00000097,RevIN-CNN-Transformer-BiLSTM
67,0.00000197,0.00000101,RevIN-CNN-Transformer-BiLSTM
68,0.00000202,0.00000108,RevIN-CNN-Transformer-BiLSTM
69,0.00000193,0.00000099,RevIN-CNN-Transformer-BiLSTM
70,0.00000166,0.00000097,RevIN-CNN-Transformer-BiLSTM
71,0.00000140,0.00000101,RevIN-CNN-Transformer-BiLSTM
72,0.00000127,0.00000105,RevIN-CNN-Transformer-BiLSTM
73,0.00000120,0.00000102,RevIN-CNN-Transformer-BiLSTM
74,0.00000116,0.00000105,RevIN-CNN-Transformer-BiLSTM
75,0.00000110,0.00000098,RevIN-CNN-Transformer-BiLSTM
76,0.00000116,0.00000100,RevIN-CNN-Transformer-BiLSTM
77,0.00000111,0.00000097,RevIN-CNN-Transformer-BiLSTM
78,0.00000108,0.00000104,RevIN-CNN-Transformer-BiLSTM
79,0.00000117,0.00000095,RevIN-CNN-Transformer-BiLSTM
80,0.00000119,0.00000098,RevIN-CNN-Transformer-BiLSTM
81,0.00000107,0.00000095,RevIN-CNN-Transformer-BiLSTM
82,0.00000107,0.00000102,RevIN-CNN-Transformer-BiLSTM
83,0.00000109,0.00000097,RevIN-CNN-Transformer-BiLSTM
84,0.00000103,0.00000098,RevIN-CNN-Transformer-BiLSTM
85,0.00000102,0.00000098,RevIN-CNN-Transformer-BiLSTM
86,0.00000106,0.00000092,RevIN-CNN-Transformer-BiLSTM
87,0.00000107,0.00000090,RevIN-CNN-Transformer-BiLSTM
88,0.00000107,0.00000091,RevIN-CNN-Transformer-BiLSTM
89,0.00000097,0.00000102,RevIN-CNN-Transformer-BiLSTM
90,0.00000100,0.00000089,RevIN-CNN-Transformer-BiLSTM
91,0.00000096,0.00000092,RevIN-CNN-Transformer-BiLSTM
92,0.00000099,0.00000090,RevIN-CNN-Transformer-BiLSTM
93,0.00000099,0.00000090,RevIN-CNN-Transformer-BiLSTM
94,0.00000097,0.00000089,RevIN-CNN-Transformer-BiLSTM
